exceedance_probability,return_period_years,insured_loss_threshold
0.0217,46.08294930875576,1803498690.7478766
0.0218,45.87155963302752,1792871015.4261935
0.0219,45.662100456621005,1778977994.529013
0.022,45.45454545454546,1774192576.5760028
0.0221,45.24886877828054,1764994377.875528
0.0222,45.04504504504504,1764682080.4086766
0.0223,44.84304932735426,1764528948.317451
0.0224,44.642857142857146,1760549791.959438
0.0225,44.44444444444444,1750798784.3620002
0.0226,44.24778761061947,1746154930.2689886
0.0227,44.052863436123346,1734243857.6173992
0.0228,43.859649122807014,1712073825.1002748
0.0229,43.66812227074236,1700175268.2528918
0.023,43.47826086956522,1686983886.6720705
0.0231,43.29004329004329,1662827490.6325843
0.0232,43.10344827586207,1661377655.5805693
0.0233,42.918454935622314,1655936373.7139084
0.0234,42.73504273504273,1650142543.3597145
0.0235,42.5531914893617,1649716810.6673126
0.0236,42.37288135593221,1647141598.8847272
0.0237,42.19409282700422,1643621790.8611317
0.0238,42.016806722689076,1632843170.6921148
0.0239,41.84100418410041,1632157621.0089726
0.024,41.666666666666664,1617654757.8430202
0.0241,41.49377593360996,1613478510.2609563
0.0242,41.32231404958678,1610996279.8860319
0.0243,41.1522633744856,1604584274.4405107
0.0244,40.983606557377044,1597483240.4273696
0.0245,40.816326530612244,1593800164.474785
0.0246,40.65040650406504,1593500827.5436947
0.0247,40.48582995951417,1591228942.001205
0.0248,40.32258064516129,1590944635.586399
0.0249,40.16064257028113,1570875233.8994858
0.025,40.0,1565527218.774944
0.0251,39.8406374501992,1565172577.749595
0.0252,39.682539682539684,1563052981.6667168
0.0253,39.52569169960474,1562810948.147797
0.0254,39.37007874015748,1560472046.103927
0.0255,39.21568627450981,1538782125.9959064
0.0256,39.0625,1537589136.876598
0.0257,38.91050583657587,1533383933.273174
0.0258,38.75968992248062,1516945972.620345
0.0259,38.61003861003861,1509938994.3480175
0.026,38.46153846153846,1509108631.5846784
0.0261,38.314176245210724,1499077870.8916306
0.0262,38.167938931297705,1488959086.7066886
0.0263,38.02281368821293,1485964783.0589862
0.0264,37.87878787878788,1480581719.0913625
0.0265,37.735849056603776,1480270316.024114
0.0266,37.59398496240602,1479307055.1882915
0.0267,37.45318352059925,1447526156.9869056
0.0268,37.3134328358209,1437335408.3713896
0.0269,37.174721189591075,1435070945.5967863
0.027,37.03703703703704,1433510972.7732553
0.0271,36.90036900369004,1433163642.0114768
0.0272,36.76470588235294,1425839490.154103
0.0273,36.63003663003663,1423084642.3414679
0.0274,36.496350364963504,1417305072.9530196
0.0275,36.36363636363637,1414810971.0771494
0.0276,36.231884057971016,1414477520.4270422
0.0277,36.101083032490976,1413626094.784614
0.0278,35.97122302158274,1399419165.572057
0.0279,35.842293906810035,1399291992.3672237
0.028,35.714285714285715,1397496589.2751997
0.0281,35.587188612099645,1396906626.5481062
0.0282,35.46099290780142,1391802745.0458252
0.0283,35.3356890459364,1385605154.476452
0.0284,35.2112676056338,1383929454.5649438
0.0285,35.08771929824561,1366023883.5456154
